Country,Year,LifeExpectancy,Status,GDP,IncomeComposition,Polio,Diphtheria,TotalExpenditure,BMI
Afghanistan,2015,65,Developing,584.25921,0.479,6,65,8.16,19.1
Afghanistan,2014,59.9,Developing,612.696514,0.476,58,62,8.18,18.6
Afghanistan,2013,59.9,Developing,631.744976,0.47,62,64,8.13,18.1
Afghanistan,2012,59.5,Developing,669.959,0.463,67,67,8.52,17.6
Afghanistan,2011,59.2,Developing,63.537231,0.454,68,68,7.87,17.2
Afghanistan,2010,58.8,Developing,553.32894,0.448,66,66,9.2,16.7
Afghanistan,2009,58.6,Developing,445.8932979,0.434,63,63,9.42,16.2
Afghanistan,2008,58.1,Developing,373.3611163,0.433,64,64,8.33,15.7
Afghanistan,2007,57.5,Developing,369.835796,0.415,63,63,6.73,15.2
Afghanistan,2006,57.3,Developing,272.56377,0.405,58,58,7.43,14.7
Afghanistan,2005,57.3,Developing,25.2941299,0.396,58,58,8.7,14.2
Afghanistan,2004,57,Developing,219.1413528,0.381,5,5,8.79,13.8
Afghanistan,2003,56.7,Developing,198.7285436,0.373,41,41,8.82,13.4
Afghanistan,2002,56.2,Developing,187.84595,0.341,36,36,7.76,13
Afghanistan,2001,55.3,Developing,117.49698,0.34,35,33,7.8,12.6
Afghanistan,2000,54.8,Developing,114.56,0.338,24,24,8.2,12.2
Albania,2015,77.8,Developing,3954.22783,0.762,99,99,6,58
Albania,2014,77.5,Developing,4575.763787,0.761,98,98,5.88,57.2
Albania,2013,77.2,Developing,4414.72314,0.759,99,99,5.66,56.5
Albania,2012,76.9,Developing,4247.61438,0.752,99,99,5.59,55.8
Albania,2011,76.6,Developing,4437.17868,0.738,99,99,5.71,55.1
Albania,2010,76.2,Developing,494.358832,0.725,99,99,5.34,54.3
Albania,2009,76.1,Developing,4114.136545,0.721,98,98,5.79,53.5
Albania,2008,75.3,Developing,437.539647,0.713,99,99,5.87,52.6
Albania,2007,75.9,Developing,363.13685,0.703,99,98,6.1,51.7
Albania,2006,74.2,Developing,35.1293,0.696,97,97,5.86,5.8
Albania,2005,73.5,Developing,279.142931,0.685,97,98,6.12,49.9
Albania,2004,73,Developing,2416.588235,0.681,98,97,6.38,48.9
Albania,2003,72.8,Developing,189.681557,0.674,97,97,6.27,47.9
Albania,2002,73.3,Developing,1453.642777,0.67,98,98,6.3,46.9
Albania,2001,73.6,Developing,1326.97339,0.662,97,97,6,46
Albania,2000,72.6,Developing,1175.788981,0.656,97,97,6.26,45
Algeria,2014,75.4,Developing,547.8517,0.741,95,95,7.21,58.4
Algeria,2013,75.3,Developing,5471.866766,0.737,95,95,7.12,57.2
Algeria,2012,75.1,Developing,5564.82566,0.732,95,95,6.14,56.1
Algeria,2011,74.9,Developing,5432.2523,0.724,95,95,5.29,55
Algeria,2010,74.7,Developing,4463.394675,0.714,95,95,5.12,53.9
Algeria,2009,74.4,Developing,3868.83123,0.705,94,95,5.36,52.8
Algeria,2008,74.1,Developing,495.254866,0.697,92,93,4.2,51.8
